\u65f6\u95f4	\u65b9\u5411	OpId	\u547d\u4ee4	\u957f\u5ea6	\u6458\u8981	Hex
2026-03-26 15:32:29.969	RAW~	9	--	0	RAW_RX +15 bytes	7E 6C 00 18 00 00 05 00 11 00 00 00 00 44 A0
2026-03-26 15:32:29.969	EVT*	-1	Q_TASK	0	Q_TASK RX observed frame header 7E6C	--
2026-03-26 15:32:29.969	EVT*	-1	--	0	\u94a5\u5319\u5df2\u62d4\u8d70\uff0c\u5f53\u524d\u547d\u4ee4\u5df2\u53d6\u6d88	--
2026-03-26 15:32:29.969	EVT*	-1	KEY_EVT	5	KEY_REMOVED (\u94a5\u5319\u62ff\u8d70)	7E 6C 00 18 00 00 05 00 11 00 00 00 00 44 A0
2026-03-26 15:32:32.346	RAW~	9	--	0	RAW_RX +15 bytes	7E 6C FF 19 00 00 05 00 11 01 00 00 00 D1 62
2026-03-26 15:32:32.346	EVT*	-1	--	0	RX drain reason=KEY_PLACED drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0	--
2026-03-26 15:32:32.346	EVT*	-1	KEY_EVT	5	KEY_PLACED (\u94a5\u5319\u653e\u4e0a), drainBytes=0	7E 6C FF 19 00 00 05 00 11 01 00 00 00 D1 62
2026-03-26 15:32:32.346	EVT*	-1	--	0	KEY_STABLE window start (key placed, 600ms)	--
2026-03-26 15:32:32.972	TX>	9	SET_COM	2	SET_COM send	7E 6C FF 0B 00 00 02 00 0F 01 1C 11
2026-03-26 15:32:32.975	EVT*	-1	--	0	KEY_STABLE_PRESENT	--
2026-03-26 15:32:32.975	EVT*	-1	--	0	\u94a5\u5319\u5df2\u7a33\u5b9a\uff0c\u7b49\u5f85\u901a\u8baf\u786e\u8ba4	--
2026-03-26 15:32:33.019	RAW~	9	--	0	RAW_RX +12 bytes	7E 6C FF 1A 00 00 02 00 5A 0F A7 20
2026-03-26 15:32:33.019	RX<	9	ACK	2	ACK for SET_COM	7E 6C FF 1A 00 00 02 00 5A 0F A7 20
2026-03-26 15:32:33.019	EVT*	-1	--	0	RX drain reason=pre-send Q_TASK drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0	--
2026-03-26 15:32:33.020	TX>	10	Q_TASK	17	Q_TASK(all) send	7E 6C FF 0C 00 00 11 00 04 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF F3 26
2026-03-26 15:32:33.056	RAW~	10	--	0	RAW_RX +32 bytes	7E 6C 01 0C FF 00 16 00 04 01 02 20 EE F4 64 16 45 1C 00 00 00 00 00 00 00 00 02 00 FF FF D9 7A
2026-03-26 15:32:33.056	EVT*	-1	Q_TASK	0	Q_TASK RX observed frame header 7E6C	--
2026-03-26 15:32:33.056	RX<	10	Q_TASK	22	Q_TASK resp: count=1, first=02 20 EE F4 64 16 45 1C	7E 6C 01 0C FF 00 16 00 04 01 02 20 EE F4 64 16 45 1C 00 00 00 00 00 00 00 00 02 00 FF FF D9 7A
2026-03-26 15:32:33.056	EVT*	-1	--	0	\u534f\u8bae\u901a\u8baf\u5df2\u786e\u8ba4\uff1aQ_TASK response	--
2026-03-26 15:32:33.056	TX>	11	SET_COM	2	SET_COM send	7E 6C FF 0D 00 00 02 00 0F 01 1C 11
2026-03-26 15:32:34.123	WARN!	11	ACK	0	Retry 1/3 for SET_COM	--
2026-03-26 15:32:34.203	RAW~	11	--	0	RAW_RX +12 bytes	7E 6C FF 1B 00 00 02 00 5A 0F A7 20
2026-03-26 15:32:34.203	RX<	11	ACK	2	ACK for SET_COM	7E 6C FF 1B 00 00 02 00 5A 0F A7 20
2026-03-26 15:32:34.204	EVT*	-1	--	0	RX drain reason=pre-send I_TASK_LOG drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0	--
2026-03-26 15:32:34.204	TX>	12	I_TASK_LOG	17	I_TASK_LOG send	7E 6C FF 0E 01 00 11 00 05 02 20 EE F4 64 16 45 1C 00 00 00 00 00 00 00 00 87 F7
2026-03-26 15:32:34.322	RAW~	12	--	0	RAW_RX +15 bytes	7E 6C 00 1C 00 00 05 00 11 00 00 00 00 44 A0
2026-03-26 15:32:34.323	WARN!	12	--	0	\u534f\u8bae\u901a\u8baf\u964d\u7ea7\uff1akey removed	--
