时间,方向,OpId,命令,长度,摘要,Hex
2026-03-09 15:09:34.647,RAW~,3,NAK,0,"RAW_RX +13 bytes","7E 6C 01 06 FF 00 03 00 05 01 00 D7 68"
2026-03-09 15:09:34.647,RX<,3,I_TASK_LOG,3,"I_TASK_LOG resp: totalFrames=1","7E 6C 01 06 FF 00 03 00 05 01 00 D7 68"
2026-03-09 15:09:34.650,TX>,3,ACK,4,"ACK for I_TASK_LOG, start upload from frame 0","7E 6C FF 07 00 00 04 00 5A 05 00 00 5C A9"
2026-03-09 15:09:34.658,RAW~,3,NAK,0,"RAW_RX +62 bytes","7E 6C 01 06 FF 00 3F 00 15 00 00 3C 00 00 00 01 11 00 00 02 80 89 F9 F4 37 2F 1C 00 00 00 00 00 00 00 00 01 00 01 00 00 00 04 C9 04 99 20 E0 26 03 09 15 08 11 01 FF 00 00 01 C9 04 99 A0"
2026-03-09 15:09:34.661,RAW~,3,NAK,0,"RAW_RX +11 bytes","01 26 03 09 15 08 33 01 FF 16 6D"
2026-03-09 15:09:34.661,RX<,3,UP_TASK_LOG,63,"UP_TASK_LOG recv: payload=62B","7E 6C 01 06 FF 00 3F 00 15 00 00 3C 00 00 00 01 11 00 00 02 80 89 F9 F4 37 2F 1C 00 00 00 00 00 00 00 00 01 00 01 00 00 00 04 C9 04 99 20 E0 26 03 09 15 08 11 01 FF 00 00 01 C9 04 99 A0 01 26 03 09 15 08 33 01 FF 16 6D"
2026-03-09 15:09:34.665,EVT*,-1,UP_TASK_LOG,63,"UP_TASK_LOG parsed: taskId=2030903482265468930 items=2","--"
2026-03-09 15:09:34.787,EVT*,-1,NAK,0,"RX drain reason=pre-send DEL drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0","--"
2026-03-09 15:09:34.787,TX>,4,DEL,17,"DEL send: taskId=028089F9...","7E 6C FF 08 01 00 11 00 06 02 80 89 F9 F4 37 2F 1C 00 00 00 00 00 00 00 00 54 18"
2026-03-09 15:09:34.875,RAW~,4,NAK,0,"RAW_RX +12 bytes","7E 6C 01 08 FF 00 02 00 5A 06 36 09"
2026-03-09 15:09:34.875,RX<,4,ACK,2,"ACK for DEL","7E 6C 01 08 FF 00 02 00 5A 06 36 09"
2026-03-09 15:09:34.878,EVT*,-1,NAK,0,"RX drain reason=pre-send Q_TASK drainBytes=0 recvBufSizeBefore=0 recvBufSizeAfter=0","--"
2026-03-09 15:09:34.878,TX>,4,Q_TASK,17,"Q_TASK(all) send","7E 6C FF 09 00 00 11 00 04 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF F3 26"
2026-03-09 15:09:35.639,RAW~,4,NAK,0,"RAW_RX +12 bytes","7E 6C 01 09 FF 00 02 00 04 00 D1 4C"
2026-03-09 15:09:35.639,EVT*,-1,Q_TASK,0,"Q_TASK RX observed frame header 7E6C","--"
2026-03-09 15:09:35.639,RX<,4,Q_TASK,2,"Q_TASK resp: count=0","7E 6C 01 09 FF 00 02 00 04 00 D1 4C"
